

 


   


Classifier: Naive Bayesian rRNA Classifier Version 1.0, November 2003
Taxonomical Hierarchy: The nomenclatural taxonomy of Garrity and Lilburn, release 6.0
Submit Date: Thu Dec 21 18:30:12 EST 2006
Confidence threshold: 80%
Symbol - after a sequence name indicates the results are obtained using reverse complement of that query sequence.
Lineage: Root(35)
Details:
ARCH_EURY_TRMCC_TRMCC_Thermococcus_celer_str_VU_13_DSM_2476_TYPE;Tcceler;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_fumicolans_str_ST557;Tcfumicol;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_hydrothermalis_str_AL662;Tchythrml;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_litoralis;Z70252;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_mexicalis_str_GY_869;Z75218;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_Rt3_str_Rt3;AF017455;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_sp_str_GE3;Z70245;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_EURY_TRMCC_TRMCC_Thermococcus_zilligii_str_AN1;U76534;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_CREN_TMFLC_TMFIL_Thermofilum_pendens_str_Hvv3_DSM_2475_TYPE;Tmfpenden;  ; Root; 100%; Archaea; 100%; Crenarchaeota; 100%; Thermoprotei; 100%; Thermoproteales; 100%; Thermofilaceae; 100%; Thermofilum; 100%
ARCH_EURY_TMPLA_TMPLA_Thermoplasma_acidophilum_str_122-1B2;Tplacidop;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermoplasmata; 100%; Thermoplasmatales; 100%; Thermoplasmataceae; 100%; Thermoplasma; 100%
ARCH_EURY_TMPLA_TMPLA_Thermoplasma_volcanium_GSS1;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermoplasmata; 100%; Thermoplasmatales; 100%; Thermoplasmataceae; 100%; Thermoplasma; 100%
ARCH_CREN_TMPTC_TMPRO_Thermoproteus_tenax;Thptenax;  ; Root; 100%; Archaea; 100%; Crenarchaeota; 100%; Thermoprotei; 100%; Thermoproteales; 100%; Thermoproteaceae; 100%; Pyrobaculum; 100%

